"","x","y","z"
"1",1,"a",2016-08-01
"2",1,"b",2016-09-01
"3",3,"c",2016-10-01
"4",4,"d",2016-11-01
"5",5,"e",2016-12-01
"6",1,"a",2016-08-01
"7",1,"b",2016-09-01
"8",3,"c",2016-10-01
"9",4,"d",2016-11-01
"10",5,"e",2016-12-01
"11",1,"a",2016-08-01
"12",1,"b",2016-09-01
"13",3,"c",2016-10-01
"14",4,"d",2016-11-01
"15",5,"e",2016-12-01
"16",1,"a",2016-08-01
"17",1,"b",2016-09-01
"18",3,"c",2016-10-01
"19",4,"d",2016-11-01
"20",5,"e",2016-12-01
"21",1,"a",2016-08-01
"22",1,"b",2016-09-01
"23",3,"c",2016-10-01
"24",4,"d",2016-11-01
"25",5,"e",2016-12-01
"26",1,"a",2016-08-01
"27",1,"b",2016-09-01
"28",3,"c",2016-10-01
"29",4,"d",2016-11-01
"30",5,"e",2016-12-01
"31",1,"a",2016-08-01
"32",1,"b",2016-09-01
"33",3,"c",2016-10-01
"34",4,"d",2016-11-01
"35",5,"e",2016-12-01
"36",1,"a",2016-08-01
"37",1,"b",2016-09-01
"38",3,"c",2016-10-01
"39",4,"d",2016-11-01
"40",5,"e",2016-12-01
"41",1,"a",2016-08-01
"42",1,"b",2016-09-01
"43",3,"c",2016-10-01
"44",4,"d",2016-11-01
"45",5,"e",2016-12-01
"46",1,"a",2016-08-01
"47",1,"b",2016-09-01
"48",3,"c",2016-10-01
"49",4,"d",2016-11-01
"50",5,"e",2016-12-01
"51",1,"a",2016-08-01
"52",1,"b",2016-09-01
"53",3,"c",2016-10-01
"54",4,"d",2016-11-01
"55",5,"e",2016-12-01
"56",1,"a",2016-08-01
"57",1,"b",2016-09-01
"58",3,"c",2016-10-01
"59",4,"d",2016-11-01
"60",5,"e",2016-12-01
"61",1,"a",2016-08-01
"62",1,"b",2016-09-01
"63",3,"c",2016-10-01
"64",4,"d",2016-11-01
"65",5,"e",2016-12-01
"66",1,"a",2016-08-01
"67",1,"b",2016-09-01
